store,address,Latitude,Longitude
씨제이남산더센터점,서울특별시 중구 소월로2길 12 CJ빌딩,37.554564,126.9759423
왕십리엔터식스점,서울특별시 성동구 왕십리광장로 17 엔터식스 지하1층,37.5619571,127.0385267
왕십리역점,서울특별시 성동구 왕십리로 331 공명빌딩 1층,37.5625971,127.0327884
강변역점,서울특별시 광진구 강변역로4길 10,37.535315,127.0933914
송파구청점,서울특별시 송파구 오금로 87 잠실리시온 1층,37.5146546,127.107375
충무로역점,서울특별시 중구 퇴계로 222 구인빌딩 1층,37.5614986,126.9963924
공덕역점,서울특별시 마포구 백범로 199 메트로디오빌 1층,37.5434128,126.9528962
마포도화점,서울특별시 마포구 삼개로 20,37.5384749,126.9471956
서울스퀘어점,서울특별시 중구 한강대로 416 서울스퀘어빌딩 지하1층,37.5554652,126.9737482
제일제당센터점,서울특별시 중구 동호로 330 지하1층,37.563942,127.0032778
강변엔터식스점,서울특별시 광진구 광나루로56길 85 테크노마트 1층 테크노마트 1층,37.5351173,127.0957751
명동대로점,서울특별시 중구 퇴계로 120 1층,37.5605395,126.9850662
명동역점,서울특별시 중구 퇴계로 127 1층,37.5611147,126.9858338
보라매점,서울특별시 동작구 보라매로 5가길 16,37.4912431,126.9240825
상왕십리역점,서울특별시 성동구 왕십리로 382,37.5649226,127.0279499
신당역점,서울특별시 중구 다산로 258,37.5658043,127.0165817
롯데피트인동대문점,서울특별시 중구 을지로 264 롯데FIT-IN몰 6층,37.5657365,127.0069957
만리동점,서울특별시 중구 만리재로 139 서울역센트럴자이 상가 1층(신축),37.555136,126.9634788
동대문역사문화공원역점,서울특별시 중구 장충단로 251 1층,37.5671349,127.0080427
마포역점,서울특별시 마포구 마포대로 53 마포트라팰리스상가 115호,37.5415373,126.947251
방이시장점,서울특별시 송파구 백제고분로 464 1층,37.5116873,127.1134032
황학사거리점,서울특별시 성동구 왕십리로 410 센트라스 1층 158호,37.5695572,127.031966
공덕파크팰리스점,서울특별시 마포구 마포대로 143 마포공덕파크팰리스 108호,37.5472449,126.9530749
대방역점,서울특별시 영등포구 영등포로 422 1층,37.5122564,126.9247831
롯데마트송파점,서울특별시 송파구 중대로 80 롯데마트송파점 지하2층,37.4916854,127.117708
명동중앙점,서울특별시 중구 명동길 26 유네스코회관 1층,37.5635611,126.9836841
두타점,서울특별시 중구 장충단로 275 두산타워 4층,37.5691357,127.0090702
명동본점,서울특별시 중구 명동길 53 1~2층,37.5640418,126.9851813
보라매역점,서울특별시 동작구 여의대방로 142,37.4996936,126.9206827
올림픽대교북단점,서울특별시 광진구 아차산로 484,37.5406379,127.0956739
가락시장역점,서울특별시 송파구 중대로 105 가락 ID타워 1층,37.4935463,127.1200688
답십리역점,서울특별시 성동구 천호대로 302 (용답동),37.5655787,127.0536931
소공점,서울특별시 중구 남대문로7길 16 한국빌딩 1층,37.5641199,126.9811544
애오개역점,서울특별시 마포구 마포대로 201 마포트라펠리스 2차 1층,37.5522028,126.9554999
을지로입구역점,서울특별시 중구 명동3길 36 지하1층,37.5653097,126.9837168
장한평역점,서울특별시 동대문구 장한로 3,37.5621007,127.0645557
대한통운본사점,서울특별시 중구 세종대로9길 53 대한통운빌딩 지하1층,37.5615018,126.9729643
시청역점,서울특별시 중구 세종대로16길 1 1층,37.5635001,126.9771016
여의도역점,서울특별시 영등포구 여의나루로 61 한영회계법인빌딩 1층,37.5298161,126.9258923
문정역점,서울특별시 송파구 송파대로 167 B동 지하1층,37.4853459,127.1222177
송파아이파크점,서울특별시 송파구 법원로 55 송파아이파크 105호~108호,37.4941097,127.0106092
군자역점,서울특별시 광진구 천호대로 548,37.5566812,127.0789171
광장점,서울특별시 광진구 아차산로 537-17 광장힐스테이트 단지 내 상가 19호,37.5433454,127.0997083
씨지브이여의도점,서울특별시 영등포구 국제금융로 10,37.5249367,126.9252845
동묘앞역점,서울특별시 종로구 지봉로 37-1,37.5732904,127.0153217
신길점,서울특별시 영등포구 영등포로 358 대윤메디컬센터 1층,37.5140679,126.9183379
아차산역점,서울특별시 광진구 천호대로 671,37.5538892,127.0857152
종로2가점,서울특별시 종로구 종로12길 21 평구빌딩 1층,37.5690496,126.9859854
종로YBM점,서울특별시 종로구 종로 104,37.569921,126.9889372
NC송파점,서울특별시 송파구 충민로 66 NC 송파점 패션관 1층,37.477174,127.1256566
대흥역점,서울특별시 마포구 백범로 91,37.5481722,126.9416928
신대방역점,서울특별시 관악구 난곡로 357 1층,37.4858591,126.9134235
아현역점,서울특별시 서대문구 신촌로35길 10 103호,37.5577978,126.9554328
장지역점,서울특별시 송파구 충민로 66 1002(문정동) 지하1층,37.4847538,127.124996
종로점,서울특별시 종로구 종로 85 1층,37.5703952,126.9869679
종각점,서울특별시 종로구 종로 61 1층,37.570399,126.9842634
신설동역점,서울특별시 동대문구 왕산로 4 1층,37.5755994,127.024065
방이역점,서울특별시 송파구 마천로 41,37.4969724,127.1495879
종로1가점,서울특별시 종로구 종로 19 르미에르종로타운 1층,37.570938,126.9799483
태평로1가점,서울특별시 중구 세종대로21길 58,37.5688792,126.9761575
세종로점,서울특별시 종로구 세종대로 161 1층,37.5706653,126.9762916
정동점,서울특별시 중구 새문안로 26,37.5674659,126.9687591
홍대대학로점,서울특별시 종로구 대학로 57 홍익대대학로캠퍼스 내 1층,37.5764804,127.001457
국회의사당역점,서울특별시 영등포구 의사당대로 26,37.5265758,126.9181878
대림성모점,서울특별시 동작구 시흥대로 658 1층,37.4903375,126.9080654
서여의도점,서울특별시 영등포구 국회대로70길 15-1 극동브이아이피빌딩 1층,37.5295938,126.9203651
광나루역점,서울특별시 광진구 아차산로 607,37.5473667,127.106064
이대점,서울특별시 서대문구 이화여대길 18 1층,37.5576355,126.9459957
중곡점,서울특별시 광진구 면목로 127 신성그랜드타워 1층 102호,37.5648702,127.0805429
서강대점,서울특별시 마포구 백범로 21,37.5528076,126.9375259
이대중앙점,서울특별시 서대문구 이화여대7길 8 1층,37.5587941,126.945375
독립문점,서울특별시 종로구 통일로 168-1 경희궁 자이,37.5687103,126.9640659
안국점,서울특별시 종로구 율곡로 45 (안국동) 1층,37.5775227,126.983655
강동구청점,서울특별시 강동구 성내로 19,37.5302411,127.1228413
신림남부순환로점,서울특별시 관악구 남부순환로 1377,37.480112,126.9038296
신촌대로점,서울특별시 서대문구 신촌로 121 1층,37.556187,126.9392967
영등포역사점,서울특별시 영등포구 경인로 846,37.5154709,126.9066823
장안동사거리점,서울특별시 동대문구 장한로 129,37.5719615,127.0709178
개롱역점,서울특별시 송파구 오금로 412 성지빌딩,37.5019342,127.1245404
구로디지털단지역점,서울특별시 관악구 시흥대로 574,37.4839618,126.9029208
신촌로터리점,서울특별시 마포구 서강로 133 1층,37.5543692,126.935239
영등포역점,서울특별시 영등포구 경인로 847,37.5167125,126.906878
올리브영 신촌,서울특별시 서대문구 연세로 10,37.5563275,126.9370809
신촌역점,서울특별시 서대문구 신촌로 79,37.5559607,126.9351768
영등포역남부점,서울특별시 영등포구 영신로19길 23,37.5134947,126.9053979
혜화역점,서울특별시 종로구 대학로 122 흥사단회관 1층,37.5821722,127.0022167
신촌명물거리점,서울특별시 서대문구 명물길 54,37.5587669,126.9393144
대학로점,서울특별시 종로구 대명길 18 1층,37.5834591,127.0004736
대학로중앙점,서울특별시 종로구 대학로 144 1층,37.5839463,127.0020454
삼청동점,서울특별시 종로구 북촌로5길 54,37.5797425,126.9820488
구로디지털점,서울특별시 구로구 디지털로34길 43 코오롱싸이언스밸리 1차 1층,37.4851267,126.8988129
신촌연세점,서울특별시 서대문구 연세로 37 1층,37.5588323,126.9366673
구로호텔점,서울특별시 구로구 디지털로32길 72 1층,37.4831293,126.8988591
상수역점,서울특별시 마포구 와우산로 49 상수아뜨리에 1층,37.5544175,126.9236717
안암점,서울특별시 성북구 고려대로24길 8,37.5857411,127.0290456
은행나무사거리점,서울특별시 금천구 금하로 705,37.4516133,126.9083675
타임스퀘어신세계점,서울특별시 영등포구 영중로 15 타임스퀘어 지하1층,37.517007,126.9041419
타임스퀘어아트리움점,서울특별시 영등포구 영중로 15 타임스퀘어 3층 315호,37.517007,126.9041419
둔촌점,서울특별시 강동구 양재대로 1317 경일빌딩 1층,37.5239591,127.134339
천호엔터식스점,서울특별시 강동구 천호대로 지하 997 지하 1층 천호엔터식스 012호,37.5479598,127.1381989
천호중앙점,서울특별시 강동구 천호대로 1027 일동빌딩 1층,37.5381679,127.1262834
서울시립대점,서울특별시 동대문구 전농로 222 씨티프라자 104~105호,37.5838961,127.0536039
위례아이파크점,서울특별시 송파구 위례광장로 136,37.4800023,127.144229
천호현대점,서울특별시 강동구 올림픽로 664 1층,37.540481,127.1249608
홍대정문점,서울특별시 마포구 홍익로 4 1층,37.5531666,126.9241424
창천점,서울특별시 서대문구 신촌로 17,37.5581592,126.9289986
홍대중앙점,서울특별시 마포구 어울마당로 68 해창빌딩,37.5510635,126.9214755
거여역점,서울특별시 송파구 오금로 512,37.4926974,127.1455368
시흥사거리점,서울특별시 금천구 시흥대로 228 1층,37.4541861,126.901205
한성대역점,서울특별시 성북구 동소문로 18-1,37.589104,127.0082698
홈플러스금천점,서울특별시 금천구 시흥대로 391 홈플러스금천점 1층,37.4686308,126.8968974
올리브영 홍대,서울특별시 마포구 양화로 156 엘지팰리스 1층,37.5560805,126.9234453
돈암점,서울특별시 성북구 동소문로22길 39,37.5913212,127.018368
