전철역명,호선,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
총신대입구(이수),4,495900,1106635,37.486263,126.981989
남태령,4,497392,1100550,37.463873,126.989134
선바위,4,500385,1097110,37.451673,127.002303
경마공원,4,501607,1094842,37.443885,127.007888
대공원,4,501287,1092762,37.435675,127.006523
과천,4,499077,1091800,37.433021,126.996568
정부과천청사,4,497615,1090090,37.426513,126.98978
인덕원,4,494677,1083140,37.401553,126.976715
평촌,4,491940,1081142,37.394287,126.963883
범계,4,488992,1079953,37.389793,126.950806
금정,4,487357,1075022,37.372221,126.943429
산본,4,484987,1071127,37.358101,126.933274
대야미,4,481462,1062700,37.328467,126.917332
반월,4,478522,1058497,37.312212,126.903524
상록수,4,470314,1055852,37.302795,126.866489
한대앞,4,467472,1057792,37.309689,126.85344
중앙,4,464005,1059422,37.315941,126.838573
고잔,4,460565,1059785,37.316777,126.823249
초지,4,456877,1060755,37.320646,126.805913
안산,4,453040,1062570,37.327082,126.788532
신길온천,4,448260,1065560,37.338212,126.765844
정왕,4,442835,1069400,37.351735,126.742989
오이도,4,441955,1072345,37.362357,126.738714
수리산,4,483320,1068927,37.349801,126.925365
종로3가,5,498060,1130332,37.571607,126.991806
오금,5,528137,1111147,37.502162,127.128111
동대문역사문화공원,5,501555,1128600,37.565138,127.007896
왕십리,5,508015,1127512,37.561533,127.037732
까치산,5,466017,1119387,37.531768,126.846683
종로3가,5,498060,1130332,37.571607,126.991806
영등포구청,5,476875,1117441,37.52497,126.895951
신길,5,481420,1115205,37.517122,126.917169
종로3가,5,498060,1130332,37.571607,126.991806
을지로4가,5,499460,1129122,37.566941,126.998079
공덕,5,489187,1122797,37.544018,126.951592
왕십리,5,508015,1127512,37.561533,127.037732
공덕,5,489187,1122797,37.544018,126.951592
천호,5,527042,1121095,37.538397,127.123572
군자,5,517395,1126285,37.557121,127.079542
여의도,5,483100,1116530,37.521624,126.924191
김포공항,5,455957,1127820,37.562434,126.801058
왕십리,5,508015,1127512,37.561533,127.037732
공덕,5,489187,1122797,37.544018,126.951592
충정로,5,491842,1127227,37.559973,126.963672
동대문역사문화공원,5,501555,1128600,37.565138,127.007896
청구,5,502872,1127150,37.560245,127.013828
김포공항,5,455957,1127820,37.562434,126.801058
영등포시장,5,478864,1116799,37.522669,126.905139
상일동,5,536415,1126182,37.556712,127.166417
을지로4가,5,499460,1129122,37.566941,126.998079
동대문역사문화공원,5,501555,1128600,37.565138,127.007896
왕십리,5,508015,1127512,37.561533,127.037732
영등포구청,5,476875,1117441,37.52497,126.895951
충정로,5,491842,1127227,37.559973,126.963672
신길,5,481420,1115205,37.517122,126.917169
방화,5,458487,1132005,37.577446,126.812741
개화산,5,457115,1130677,37.572399,126.806171
김포공항,5,455957,1127820,37.562434,126.801058
송정,5,458327,1127585,37.561184,126.811973
마곡,5,461137,1127285,37.560183,126.825448
발산,5,463930,1126865,37.558598,126.837668
우장산,5,463575,1124075,37.548768,126.836318
화곡,5,464647,1121977,37.541513,126.840461
까치산,5,466017,1119387,37.531768,126.846683
신정,5,467952,1117395,37.524997,126.856191
목동,5,469885,1117862,37.526065,126.864931
오목교,5,472327,1117257,37.524496,126.875181
양평,5,474744,1117620,37.525648,126.885778
여의도,5,483100,1116530,37.521624,126.924191
여의나루,5,485020,1118070,37.527098,126.932901
마포,5,487855,1121387,37.539574,126.945932
공덕,5,489187,1122797,37.544018,126.951592
애오개,5,490233,1125313,37.553736,126.95682
서대문,5,492467,1128777,37.565773,126.966641
광화문,5,494520,1130442,37.571026,126.976669
청구,5,502872,1127150,37.560245,127.013828
신금호,5,504357,1125662,37.554548,127.020331
행당,5,506397,1126405,37.557322,127.029476
마장,5,509362,1128847,37.5661,127.042973
답십리,5,511330,1129032,37.566747,127.052704
장한평,5,513985,1127595,37.56144,127.064623
군자,5,517395,1126285,37.557121,127.079542
아차산,5,519537,1125055,37.551691,127.089761
광나루,5,522710,1123015,37.545303,127.10357
천호,5,527042,1121095,37.538397,127.123572
강동,5,529040,1120490,37.535804,127.132481
길동,5,530777,1121007,37.537801,127.140004
굽은다리,5,531440,1123127,37.545477,127.142853
명일,5,531702,1124652,37.55137,127.143999
고덕,5,533850,1125845,37.555004,127.154151
둔촌동,5,529927,1118215,37.527788,127.136248
올림픽공원,5,528797,1115072,37.516078,127.130848
방이,5,527705,1112922,37.508857,127.126133
오금,5,528137,1111147,37.502162,127.128111
개롱,5,529600,1110007,37.498079,127.13482
거여,5,531620,1108740,37.493105,127.14415
마천,5,533682,1109147,37.49499,127.152781
합정,6,480875,1124362,37.549463,126.913739
공덕,6,489187,1122797,37.544018,126.951592
삼각지,6,493970,1120167,37.534777,126.97311
약수,6,502197,1125470,37.55434,127.010655
신당,6,503765,1128712,37.565972,127.01782
동묘앞,6,503422,1130557,37.572627,127.016429
석계,6,514452,1142315,37.614805,127.065851
불광,6,484337,1140982,37.610469,126.929887
연신내,6,482372,1143485,37.619001,126.921008
